coord   	geo
#data_num	63
#slip_num	344
#ndf     	-281
#rss      	1.74657e-01  [m^2]
#rms      	5.26529e-02  [m]
#wrss   	NaN          [m^2]
#wrms   	NaN          [m]
#chi2    	NaN         
#rchi2   	NaN         
#r_1d   	NaN          [cm/km]
#r_2d   	9.62639e-02  [cm/km^2]
#strain   	1.08647e+00  [cm/km]

earth	homogeneous	3.00e+10  	0.2500

kappa   	0.00000     
beta     	0.00000     

smooth   	2d
surface  	free

fault 2 nicoya  -85.54233907   8.74026277     -86.82826920 10.01077299    0.0000e+00 6.1999e+04   25.00    -0.01000 0.01000  0.00000   0.0000 0.0000  0.0000 0.0000  0.0000 0.0000    30 40
     subfault nicoya     20     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     21     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     22     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     23     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     24     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     25     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     26     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     27     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     28     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     29     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     30     2       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      1     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      2     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      3     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      4     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      5     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      6     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      7     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      8     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      9     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     10     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     11     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     12     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     13     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
